Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Day type,dept_1 sales,dept_2 sales,dept_3 sales
5/2/10,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,Regular day,24924.5,50605.27,13740.12
12/2/10,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,Holiday,46039.49,44682.74,10887.84
19/02/2010,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,Regular day,41595.55,47928.89,11523.47
26/02/2010,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,Regular day,19403.54,44292.87,11135.17
5/3/10,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,Regular day,21827.9,48397.98,12275.58
12/3/10,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,Regular day,21043.39,43751.94,10123.45
19/03/2010,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,Regular day,22136.64,43615.49,9001.37
26/03/2010,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,Regular day,26229.21,41892.55,10366.85
2/4/10,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,Regular day,57258.43,47450.5,11157.08
9/4/10,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,Regular day,42960.91,46549.73,10179.29
16/04/2010,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,Regular day,17596.96,45025.02,9226.8
23/04/2010,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,Regular day,16145.35,44418.11,8868.93
30/04/2010,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,Regular day,16555.11,45971.3,9337.44
7/5/10,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,Regular day,17413.94,47903.01,9372.8
14/05/2010,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,Regular day,18926.74,43675.61,7919.86
21/05/2010,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,Regular day,14773.04,44319.15,7813.91
28/05/2010,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,Regular day,15580.43,44619.52,8412.69
4/6/10,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,Regular day,17558.09,48754.47,8001.41
11/6/10,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,Regular day,16637.62,47089.54,7742.75
18/06/2010,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,Regular day,16216.27,44428.71,8201.06
25/06/2010,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,Regular day,16328.72,45299.92,6591.22
2/7/10,80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,Regular day,16333.14,47077.72,7857.88
9/7/10,80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,Regular day,17688.76,46752.12,8112.67
16/07/2010,83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,Regular day,17150.84,44339.2,13751.3
23/07/2010,83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,Regular day,15360.45,44763.33,16930.62
30/07/2010,81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,Regular day,15381.82,45833.77,20915.95
6/8/10,87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,Regular day,17508.41,50031.73,26719.02
13/08/2010,87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,Regular day,15536.4,45475.69,30640.54
20/08/2010,86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,Regular day,15740.13,49754.17,41101.93
27/08/2010,85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,Regular day,15793.87,49623.53,51159.17
3/9/10,81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,Regular day,16241.78,49015.05,19081.8
10/9/10,78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,Holiday,18194.74,45182.5,12134.69
17/09/2010,82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,Regular day,19354.23,44681.64,10722.46
24/09/2010,80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,Regular day,18122.52,42477.49,8097.92
1/10/10,71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,Regular day,20094.19,45829.02,9775.17
8/10/10,63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,Regular day,23388.03,46387.54,10081.8
15/10/2010,67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,Regular day,26978.34,43110.79,9735.73
22/10/2010,69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,Regular day,25543.04,42371.48,8614.41
29/10/2010,69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,Regular day,38640.93,44081.33,9283.09
5/11/10,58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,Regular day,34238.88,46381.43,9825.22
12/11/10,59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,Regular day,19549.39,43194.49,9146.77
19/11/2010,51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,Regular day,19552.84,41443.25,9202.11
26/11/2010,64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,Holiday,18820.29,45681.98,10706.81
3/12/10,49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,Regular day,22517.56,44405.02,10856.85
10/12/10,46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,Regular day,31497.65,46955.82,11219.78
17/12/2010,49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,Regular day,44912.86,49303.28,11986.84
24/12/2010,52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,Regular day,55931.23,59889.32,12080.36
31/12/2010,48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,Holiday,19124.58,35819.83,8266.14
7/1/11,48.27,2.976,NA,NA,NA,NA,NA,211.4047419,7.742,Regular day,15984.24,43202.29,15808.15
14/01/2011,35.4,2.983,NA,NA,NA,NA,NA,211.4574109,7.742,Regular day,17359.7,39857.4,13275.87
21/01/2011,44.04,3.016,NA,NA,NA,NA,NA,211.8272343,7.742,Regular day,17341.47,41596.99,12532.94
28/01/2011,43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7.742,Regular day,18461.18,41651.01,11983.34
4/2/11,42.27,2.989,NA,NA,NA,NA,NA,212.5668812,7.742,Regular day,21665.76,46829.12,11012.52
11/2/11,36.39,3.022,NA,NA,NA,NA,NA,212.9367046,7.742,Holiday,37887.17,47595.35,11428.25
18/02/2011,57.36,3.045,NA,NA,NA,NA,NA,213.2478853,7.742,Regular day,46845.87,49202.06,11724.98
25/02/2011,62.9,3.065,NA,NA,NA,NA,NA,213.535609,7.742,Regular day,19363.83,46165.25,10473.78
4/3/11,59.58,3.288,NA,NA,NA,NA,NA,213.8233327,7.742,Regular day,20327.61,53035.54,11039.12
11/3/11,53.56,3.459,NA,NA,NA,NA,NA,214.1110564,7.742,Regular day,21280.4,48465.72,10689.97
18/03/2011,62.76,3.488,NA,NA,NA,NA,NA,214.3627114,7.742,Regular day,20334.23,45222.3,8148.69
25/03/2011,69.97,3.473,NA,NA,NA,NA,NA,214.5999389,7.742,Regular day,20881.1,44293.54,9049.02
1/4/11,59.17,3.524,NA,NA,NA,NA,NA,214.8371664,7.682,Regular day,20398.09,46991.58,8734.19
8/4/11,67.84,3.622,NA,NA,NA,NA,NA,215.0743939,7.682,Regular day,23873.79,48501.79,10417.33
15/04/2011,71.27,3.743,NA,NA,NA,NA,NA,215.2918561,7.682,Regular day,28762.37,44464.74,8212.97
22/04/2011,72.99,3.807,NA,NA,NA,NA,NA,215.4599053,7.682,Regular day,50510.31,46544.56,8468.72
29/04/2011,72.03,3.81,NA,NA,NA,NA,NA,215.6279544,7.682,Regular day,41512.39,43682.41,8653.62
6/5/11,64.61,3.906,NA,NA,NA,NA,NA,215.7960035,7.682,Regular day,20138.19,50139.92,10420.92
13/05/2011,75.64,3.899,NA,NA,NA,NA,NA,215.9640526,7.682,Regular day,17235.15,44274.15,8732.46
20/05/2011,67.63,3.907,NA,NA,NA,NA,NA,215.7339202,7.682,Regular day,15136.78,44302.11,7939.01
27/05/2011,77.72,3.786,NA,NA,NA,NA,NA,215.5037878,7.682,Regular day,15741.6,45072.11,8120.7
3/6/11,83,3.699,NA,NA,NA,NA,NA,215.2736553,7.682,Regular day,16434.15,47844.27,8853.89
10/6/11,83.13,3.648,NA,NA,NA,NA,NA,215.0435229,7.682,Regular day,15883.52,46363.93,7508.71
17/06/2011,86.41,3.637,NA,NA,NA,NA,NA,214.9980596,7.682,Regular day,14978.09,42939.63,7658.75
24/06/2011,83.58,3.594,NA,NA,NA,NA,NA,215.0910982,7.682,Regular day,15682.81,42415.81,6165.73
1/7/11,85.55,3.524,NA,NA,NA,NA,NA,215.1841368,7.962,Regular day,15363.5,45247.74,8070.64
8/7/11,85.83,3.48,NA,NA,NA,NA,NA,215.2771754,7.962,Regular day,16148.87,44623.23,7366.5
15/07/2011,88.54,3.575,NA,NA,NA,NA,NA,215.3611087,7.962,Regular day,15654.85,43260.96,11578.11
22/07/2011,85.77,3.651,NA,NA,NA,NA,NA,215.4222784,7.962,Regular day,15766.6,45113.56,16069.5
29/07/2011,86.83,3.682,NA,NA,NA,NA,NA,215.4834482,7.962,Regular day,15922.41,43191.02,21331.51
5/8/11,91.65,3.684,NA,NA,NA,NA,NA,215.544618,7.962,Regular day,15295.55,49359.75,31248.98
12/8/11,90.76,3.638,NA,NA,NA,NA,NA,215.6057878,7.962,Regular day,14539.79,45341.92,32148.93
19/08/2011,89.94,3.554,NA,NA,NA,NA,NA,215.6693107,7.962,Regular day,14689.24,46391.12,41603.11
26/08/2011,87.96,3.523,NA,NA,NA,NA,NA,215.7332258,7.962,Regular day,14537.37,47659.93,49775.52
2/9/11,87.83,3.533,NA,NA,NA,NA,NA,215.7971409,7.962,Regular day,15277.27,49419.75,19604.47
9/9/11,76,3.546,NA,NA,NA,NA,NA,215.861056,7.962,Holiday,17746.68,43315.85,12778.28
16/09/2011,79.94,3.526,NA,NA,NA,NA,NA,216.0410526,7.962,Regular day,18535.48,42963.96,10412.88
23/09/2011,75.8,3.467,NA,NA,NA,NA,NA,216.3758246,7.962,Regular day,17859.3,43390.94,9755.56
30/09/2011,79.69,3.355,NA,NA,NA,NA,NA,216.7105965,7.962,Regular day,18337.68,46045.09,10434.83
7/10/11,69.31,3.285,NA,NA,NA,NA,NA,217.0453684,7.866,Regular day,20797.58,49880.69,9977.96
14/10/2011,71.74,3.274,NA,NA,NA,NA,NA,217.3552733,7.866,Regular day,23077.55,43306.38,9870.22
21/10/2011,63.71,3.353,NA,NA,NA,NA,NA,217.5159762,7.866,Regular day,23351.8,42487.67,10136.78
28/10/2011,66.57,3.372,NA,NA,NA,NA,NA,217.6766791,7.866,Regular day,31579.9,41682.4,9421.2
4/11/11,54.98,3.332,NA,NA,NA,NA,NA,217.837382,7.866,Regular day,39886.06,47313.62,9189.2
11/11/11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,Regular day,18689.54,44936.47,9959.64
18/11/2011,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,Regular day,19050.66,43997.78,10104.36
25/11/2011,60.14,3.236,410.31,98,55805.51,8,554.92,218.4676211,7.866,Holiday,20911.25,44259.59,9317.56
2/12/11,48.91,3.172,5629.51,68,1398.11,2084.64,20475.32,218.7147333,7.866,Regular day,25293.49,45928.14,10146.54
9/12/11,43.93,3.158,4640.65,19,105.02,3639.42,14461.82,218.9618456,7.866,Regular day,33305.92,49357.43,12955.55
16/12/2011,51.63,3.159,5011.32,67,347.37,225.79,4011.37,219.1794533,7.866,Regular day,45773.03,51137.42,13180.05
23/12/2011,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,Regular day,46788.75,65615.36,13667.88
30/12/2011,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,Holiday,23350.88,43539.94,8848.44
6/1/12,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,Regular day,16567.69,44481.38,13926.04
13/01/2012,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,Regular day,16894.4,43353.09,13822.49
20/01/2012,54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,Regular day,18365.1,43753.43,11702.08
27/01/2012,54.26,3.29,1164.46,1082.74,44,11,1222.19,220.0788523,7.348,Regular day,18378.16,41556.23,10613.17
3/2/12,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,Regular day,23510.49,54322.24,12485.78
10/2/12,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,Holiday,36988.49,50581.06,12388.85
17/02/2012,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,Regular day,54060.1,46085.47,10237.78
24/02/2012,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,Regular day,20124.22,47080.12,10502.4
2/3/12,60.96,3.63,15441.4,1569,10.8,25390.88,8067.61,220.8480454,7.348,Regular day,20113.03,52608.51,11387.31
9/3/12,58.76,3.669,10331.04,151.88,6,671.43,5509.84,221.0591887,7.348,Regular day,21140.07,48563.69,11925.71
16/03/2012,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,Regular day,22366.88,47346.32,8845.73
23/03/2012,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,Regular day,22107.7,44796.03,7910.22
30/03/2012,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,Regular day,28952.86,46529.68,9129.23
6/4/12,70.43,3.891,10121.97,NA,77.98,3750.59,4510.72,221.4356112,7.143,Regular day,57592.12,51805.88,9335.24
13/04/2012,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,Regular day,34684.21,43991.18,7927.73
20/04/2012,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,Regular day,16976.19,45561.85,8647.36
27/04/2012,67.23,3.814,3221.25,NA,35.49,577.14,6222.25,221.6179368,7.143,Regular day,16347.6,45456.23,8635.62
4/5/12,75.55,3.749,21290.13,NA,69.89,4977.35,3261.04,221.6718,7.143,Regular day,17147.44,50501.3,10655.35
11/5/12,73.77,3.688,8351.4,NA,10.52,2443.14,3127.88,221.7256632,7.143,Regular day,18164.2,46717.76,10342.72
18/05/2012,70.33,3.63,6154.14,NA,45.11,1675.49,5508.18,221.742674,7.143,Regular day,18517.79,44411.23,8609.82
25/05/2012,77.22,3.561,4039.39,NA,745.19,1429.96,3631.13,221.744944,7.143,Regular day,16963.55,45817.07,8345.33
1/6/12,77.95,3.501,6086.21,12,370.51,148.75,3690.85,221.7472139,7.143,Regular day,16065.49,47425.29,7175.77
8/6/12,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,Regular day,17666,49439.58,8614.64
15/06/2012,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,Regular day,17558.82,46637.48,8016.26
22/06/2012,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,Regular day,16633.41,46075,7301.41
29/06/2012,84.88,3.286,3965.73,161.6,NA,435.99,4212.97,221.8434,7.143,Regular day,15722.82,47629.14,7577.59
6/7/12,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,Regular day,17823.37,49771.92,8473.71
13/07/2012,77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,Regular day,16566.18,44411.95,13126.15
20/07/2012,80.42,3.311,3213,313.72,9.53,2262.02,3228.19,221.9327267,6.908,Regular day,16348.06,45108.22,20126.95
27/07/2012,82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,Regular day,15731.18,45008.22,22716.7
3/8/12,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,Regular day,16628.31,49424.06,30331.69
10/8/12,85.05,3.494,11436.22,245,6.85,6964.26,4836.22,221.9584329,6.908,Regular day,16119.92,46729.91,28257.3
17/08/2012,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,Regular day,17330.7,46350.97,31905.97
24/08/2012,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,Regular day,16286.4,44972.52,43712.78
31/08/2012,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,Regular day,16680.24,50995.5,50701.3
7/9/12,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,Holiday,18322.37,47344.5,18368.51
14/09/2012,74.97,3.717,17212.52,7,18.79,1523.11,7992.72,222.5820193,6.908,Regular day,19616.22,44493.61,14288.22
21/09/2012,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,Regular day,19251.5,43541.07,13403.63
28/09/2012,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,Regular day,18947.81,45784.76,13085.95
5/10/12,68.55,3.617,8077.89,NA,18.22,3617.43,3626.14,223.1814772,6.573,Regular day,21904.47,48577.08,11676.98
12/10/12,62.99,3.601,2086.18,NA,8.11,602.36,5926.45,223.3812965,6.573,Regular day,22764.01,42112.67,10487.17
19/10/2012,67.97,3.594,950.33,NA,4.93,80.25,2312.85,223.4257233,6.573,Regular day,24185.27,42354.72,8548.87
26/10/2012,69.16,3.506,2585.85,31.75,6,1057.16,1305.01,223.4442513,6.573,Regular day,27390.81,43134.88,9350.9